t	x	y
0.034	2.628E-3	1.807E-3
0.068	4.271E-3	-4.928E-4
0.103	6.271E-3	-4.881E-4
0.137	8.426E-3	-5.050E-4
0.172	1.164E-2	-6.316E-4
0.206	1.468E-2	-7.690E-4
0.241	1.841E-2	-7.231E-4
0.275	2.313E-2	-9.730E-4
0.310	2.815E-2	-1.153E-3
0.344	3.383E-2	-1.932E-3
0.379	4.003E-2	-2.545E-3
0.413	4.700E-2	-3.624E-3
0.448	5.406E-2	-4.455E-3
0.482	6.164E-2	-5.486E-3
0.517	6.881E-2	-6.884E-3
0.551	7.503E-2	-8.605E-3
0.586	8.105E-2	-1.062E-2
0.620	8.743E-2	-1.255E-2
0.655	0.102	-1.645E-2
0.689	0.109	-1.810E-2
0.724	0.115	-2.029E-2
0.758	0.122	-2.345E-2
0.793	0.129	-2.617E-2
0.827	0.135	-2.920E-2
0.862	0.140	-3.232E-2
0.896	0.146	-3.568E-2
0.930	0.152	-3.868E-2
0.965	0.158	-4.172E-2
0.999	0.164	-4.551E-2
1.034	0.170	-4.919E-2
1.068	0.175	-5.273E-2
1.103	0.181	-5.579E-2
1.137	0.186	-5.986E-2
1.172	0.191	-6.386E-2
1.206	0.195	-6.772E-2
1.241	0.200	-7.168E-2
1.275	0.205	-7.560E-2
1.310	0.209	-7.943E-2
1.344	0.213	-8.328E-2
1.379	0.217	-8.732E-2
1.413	0.221	-9.143E-2
1.448	0.225	-9.558E-2
1.482	0.228	-9.991E-2
1.517	0.231	-0.104
1.551	0.235	-0.107
1.586	0.237	-0.111
1.620	0.240	-0.115
1.655	0.243	-0.119
1.689	0.245	-0.122
1.724	0.247	-0.126
1.758	0.251	-0.133
1.792	0.253	-0.137
1.827	0.254	-0.140
1.861	0.256	-0.143
1.896	0.257	-0.146
1.930	0.258	-0.148
1.965	0.259	-0.151
1.999	0.260	-0.153
2.034	0.261	-0.155
2.068	0.261	-0.157
2.103	0.262	-0.158
2.137	0.262	-0.160
2.172	0.263	-0.162
2.206	0.263	-0.163
2.241	0.263	-0.164
2.275	0.263	-0.164
2.310	0.263	-0.165
2.344	0.263	-0.165
2.379	0.263	-0.165
2.413	0.263	-0.164
2.448	0.263	-0.164
2.482	0.263	-0.163
2.517	0.263	-0.162
2.551	0.263	-0.160
2.586	0.263	-0.159
2.620	0.263	-0.157
2.654	0.264	-0.155
2.689	0.265	-0.152
2.723	0.265	-0.150
2.758	0.266	-0.148
2.792	0.267	-0.145
2.827	0.268	-0.142
2.861	0.271	-0.135
2.896	0.273	-0.131
2.930	0.274	-0.127
2.965	0.277	-0.123
2.999	0.279	-0.119
3.034	0.282	-0.115
3.068	0.285	-0.111
3.103	0.288	-0.106
3.137	0.292	-0.102
3.172	0.296	-9.704E-2
3.206	0.300	-9.257E-2
3.241	0.304	-8.759E-2
3.275	0.308	-8.283E-2
3.310	0.314	-7.773E-2
3.344	0.319	-7.303E-2
3.379	0.324	-6.826E-2
3.413	0.330	-6.339E-2
3.448	0.336	-5.852E-2
3.482	0.342	-5.370E-2
3.516	0.349	-4.838E-2
3.551	0.356	-4.414E-2
3.585	0.363	-3.974E-2
3.620	0.370	-3.517E-2
3.654	0.379	-3.092E-2
3.689	0.387	-2.660E-2
3.723	0.395	-2.261E-2
3.758	0.403	-1.909E-2
3.792	0.412	-1.470E-2
3.827	0.420	-1.218E-2
3.861	0.438	-6.453E-3
3.896	0.447	-3.624E-3
3.930	0.458	-1.042E-3
3.965	0.467	1.358E-3
3.999	0.477	3.260E-3
4.034	0.487	4.831E-3
4.068	0.497	5.942E-3
4.103	0.507	7.147E-3
4.137	0.517	7.634E-3
4.172	0.527	7.782E-3
4.206	0.537	7.730E-3
4.241	0.548	7.559E-3
4.275	0.558	7.325E-3
4.310	0.568	6.983E-3
4.344	0.578	5.768E-3
4.378	0.587	4.553E-3
4.413	0.598	3.282E-3
4.447	0.607	1.366E-3
4.482	0.617	-6.918E-4
4.516	0.627	-2.890E-3
4.551	0.637	-5.915E-3
4.585	0.647	-8.747E-3
4.620	0.657	-1.229E-2
4.654	0.666	-1.598E-2
4.689	0.676	-2.011E-2
4.723	0.685	-2.367E-2
4.758	0.694	-2.814E-2
4.792	0.702	-3.231E-2
4.827	0.710	-3.658E-2
4.861	0.718	-4.138E-2
4.896	0.726	-4.618E-2
