t	x	y
0.000	-1.998E-3	-2.046E-3
0.035	-1.215E-3	-2.980E-3
0.069	1.944E-3	-2.960E-3
0.104	5.227E-3	-2.950E-3
0.138	8.653E-3	-2.915E-3
0.173	1.214E-2	-2.925E-3
0.207	1.650E-2	-2.936E-3
0.242	2.012E-2	-3.000E-3
0.276	2.460E-2	-3.079E-3
0.311	2.871E-2	-3.099E-3
0.345	3.263E-2	-3.329E-3
0.380	3.690E-2	-3.513E-3
0.414	4.113E-2	-4.056E-3
0.449	4.518E-2	-4.528E-3
0.483	4.936E-2	-4.805E-3
0.518	5.365E-2	-5.180E-3
0.552	5.780E-2	-6.016E-3
0.587	6.146E-2	-6.345E-3
0.621	6.576E-2	-6.866E-3
0.656	7.056E-2	-7.539E-3
0.690	7.408E-2	-8.039E-3
0.725	7.722E-2	-9.312E-3
0.759	8.027E-2	-9.903E-3
0.794	8.411E-2	-1.091E-2
0.828	8.878E-2	-1.139E-2
0.862	9.347E-2	-1.256E-2
0.897	9.685E-2	-1.342E-2
0.931	0.100	-1.457E-2
0.966	0.104	-1.597E-2
1.000	0.108	-1.741E-2
1.035	0.112	-1.804E-2
1.069	0.120	-2.090E-2
1.104	0.123	-2.253E-2
1.138	0.128	-2.423E-2
1.173	0.132	-2.561E-2
1.207	0.136	-2.753E-2
1.242	0.139	-2.919E-2
1.276	0.143	-3.062E-2
1.311	0.148	-3.236E-2
1.345	0.151	-3.408E-2
1.380	0.154	-3.589E-2
1.414	0.158	-3.754E-2
1.449	0.162	-3.938E-2
1.483	0.166	-4.136E-2
1.518	0.169	-4.363E-2
1.552	0.173	-4.554E-2
1.587	0.177	-4.786E-2
1.621	0.180	-5.034E-2
1.656	0.184	-5.222E-2
1.690	0.187	-5.408E-2
1.724	0.191	-5.650E-2
1.759	0.194	-5.881E-2
1.793	0.198	-6.168E-2
1.828	0.201	-6.367E-2
1.862	0.204	-6.651E-2
1.897	0.207	-6.872E-2
1.931	0.210	-7.125E-2
1.966	0.213	-7.408E-2
2.000	0.216	-7.681E-2
2.035	0.220	-7.943E-2
2.069	0.222	-8.216E-2
2.104	0.228	-8.703E-2
2.138	0.231	-8.993E-2
2.173	0.234	-9.301E-2
2.207	0.236	-9.544E-2
2.242	0.239	-9.824E-2
2.276	0.241	-0.101
2.311	0.244	-0.103
2.345	0.246	-0.106
2.380	0.249	-0.109
2.414	0.250	-0.112
2.449	0.252	-0.114
2.483	0.254	-0.117
2.518	0.256	-0.119
2.552	0.258	-0.122
2.586	0.259	-0.124
2.621	0.261	-0.126
2.655	0.262	-0.129
2.690	0.264	-0.131
2.724	0.265	-0.134
2.759	0.267	-0.136
2.793	0.268	-0.139
2.828	0.269	-0.141
2.862	0.270	-0.142
2.897	0.271	-0.145
2.931	0.272	-0.147
2.966	0.273	-0.149
3.000	0.274	-0.151
3.035	0.274	-0.153
3.069	0.275	-0.154
3.104	0.276	-0.156
3.138	0.277	-0.159
3.173	0.277	-0.160
3.207	0.277	-0.162
3.242	0.277	-0.163
3.276	0.277	-0.165
3.311	0.278	-0.165
3.345	0.279	-0.166
3.380	0.279	-0.167
3.414	0.279	-0.167
3.448	0.279	-0.168
3.483	0.279	-0.168
3.517	0.279	-0.169
3.552	0.279	-0.169
3.586	0.279	-0.169
3.621	0.279	-0.169
3.655	0.279	-0.168
3.690	0.279	-0.168
3.724	0.279	-0.168
3.759	0.279	-0.168
3.793	0.279	-0.167
3.828	0.279	-0.166
3.862	0.279	-0.165
3.897	0.279	-0.165
3.931	0.280	-0.164
3.966	0.280	-0.162
4.000	0.280	-0.161
4.035	0.281	-0.159
4.069	0.281	-0.157
4.104	0.281	-0.156
4.138	0.282	-0.154
4.173	0.283	-0.150
4.207	0.284	-0.147
4.242	0.285	-0.145
4.276	0.286	-0.143
4.310	0.288	-0.140
4.345	0.289	-0.137
4.379	0.290	-0.135
4.414	0.292	-0.132
4.448	0.294	-0.129
4.483	0.295	-0.126
4.517	0.297	-0.123
4.552	0.299	-0.119
4.586	0.301	-0.116
4.621	0.304	-0.113
4.655	0.306	-0.110
4.690	0.309	-0.106
4.724	0.312	-0.103
4.759	0.315	-9.939E-2
4.793	0.318	-9.581E-2
4.828	0.321	-9.212E-2
4.862	0.325	-8.830E-2
4.897	0.328	-8.466E-2
4.931	0.332	-8.052E-2
4.966	0.336	-7.732E-2
5.000	0.340	-7.322E-2
5.035	0.344	-7.011E-2
5.069	0.349	-6.625E-2
5.104	0.354	-6.241E-2
5.138	0.359	-5.869E-2
5.172	0.364	-5.524E-2
5.207	0.369	-5.212E-2
5.241	0.374	-4.892E-2
5.276	0.385	-4.192E-2
5.310	0.390	-3.913E-2
5.345	0.396	-3.550E-2
5.379	0.403	-3.220E-2
5.414	0.408	-3.029E-2
5.448	0.415	-2.741E-2
5.483	0.421	-2.432E-2
5.517	0.428	-2.132E-2
5.552	0.434	-1.881E-2
5.586	0.441	-1.638E-2
5.621	0.448	-1.437E-2
5.655	0.456	-1.161E-2
5.690	0.462	-9.655E-3
5.724	0.469	-7.968E-3
5.759	0.477	-5.999E-3
5.793	0.484	-4.601E-3
5.828	0.492	-2.928E-3
5.862	0.500	-1.388E-3
5.897	0.508	1.167E-4
5.931	0.515	9.322E-4
5.966	0.523	1.892E-3
6.000	0.531	2.748E-3
6.034	0.539	3.239E-3
6.069	0.547	3.560E-3
6.103	0.555	3.665E-3
6.138	0.563	3.892E-3
6.172	0.571	3.745E-3
6.207	0.580	3.479E-3
6.241	0.588	3.090E-3
6.276	0.596	2.336E-3
6.310	0.613	4.331E-4
6.345	0.621	-6.875E-4
6.379	0.628	-1.665E-3
6.414	0.636	-2.983E-3
6.448	0.644	-4.651E-3
6.483	0.651	-6.277E-3
6.517	0.659	-8.123E-3
6.552	0.666	-1.015E-2
6.586	0.674	-1.183E-2
6.621	0.681	-1.423E-2
6.655	0.688	-1.622E-2
6.690	0.695	-1.853E-2
6.724	0.702	-2.129E-2
6.759	0.710	-2.422E-2
6.793	0.717	-2.717E-2
6.828	0.723	-2.995E-2
6.862	0.729	-3.258E-2
6.896	0.735	-3.589E-2
6.931	0.741	-3.895E-2
