t	x	y
0.034	2.414E-3	1.389E-3
0.069	2.612E-3	1.382E-3
0.103	3.868E-3	1.407E-3
0.138	4.424E-3	1.391E-3
0.172	6.051E-3	1.400E-3
0.207	7.720E-3	1.413E-3
0.241	9.657E-3	1.407E-3
0.276	1.169E-2	1.414E-3
0.310	1.371E-2	1.405E-3
0.345	1.692E-2	1.386E-3
0.379	1.964E-2	1.272E-3
0.414	2.307E-2	1.258E-3
0.448	3.092E-2	8.833E-4
0.482	3.536E-2	6.020E-4
0.517	3.978E-2	8.555E-5
0.551	4.481E-2	-4.534E-4
0.586	5.002E-2	-8.669E-4
0.620	5.594E-2	-2.009E-3
0.655	6.154E-2	-2.573E-3
0.689	6.750E-2	-3.618E-3
0.724	7.271E-2	-4.494E-3
0.758	7.715E-2	-5.823E-3
0.793	8.212E-2	-7.373E-3
0.827	8.734E-2	-8.531E-3
0.862	9.316E-2	-9.772E-3
0.896	9.885E-2	-1.133E-2
0.931	0.104	-1.298E-2
0.965	0.109	-1.482E-2
1.000	0.113	-1.642E-2
1.034	0.118	-1.825E-2
1.069	0.123	-2.051E-2
1.103	0.128	-2.242E-2
1.138	0.133	-2.433E-2
1.172	0.138	-2.626E-2
1.207	0.141	-2.830E-2
1.241	0.145	-3.040E-2
1.276	0.150	-3.327E-2
1.310	0.154	-3.543E-2
1.344	0.159	-3.766E-2
1.379	0.163	-3.978E-2
1.413	0.167	-4.276E-2
1.448	0.171	-4.483E-2
1.482	0.175	-4.681E-2
1.517	0.180	-5.015E-2
1.551	0.187	-5.601E-2
1.586	0.191	-5.896E-2
1.620	0.195	-6.162E-2
1.655	0.199	-6.478E-2
1.689	0.201	-6.696E-2
1.724	0.205	-7.015E-2
1.758	0.208	-7.282E-2
1.793	0.211	-7.626E-2
1.827	0.215	-7.987E-2
1.862	0.217	-8.240E-2
1.896	0.220	-8.573E-2
1.931	0.223	-8.789E-2
1.965	0.225	-9.086E-2
2.000	0.228	-9.490E-2
2.034	0.230	-9.711E-2
2.069	0.232	-9.970E-2
2.103	0.235	-0.104
2.138	0.237	-0.106
2.172	0.239	-0.109
2.206	0.241	-0.112
2.241	0.243	-0.115
2.275	0.245	-0.118
2.310	0.246	-0.120
2.344	0.247	-0.123
2.379	0.249	-0.125
2.413	0.250	-0.128
2.448	0.251	-0.130
2.482	0.252	-0.133
2.517	0.253	-0.134
2.551	0.254	-0.137
2.586	0.256	-0.141
2.620	0.256	-0.143
2.655	0.257	-0.145
2.689	0.257	-0.147
2.724	0.258	-0.148
2.758	0.258	-0.150
2.793	0.258	-0.152
2.827	0.259	-0.153
2.862	0.259	-0.154
2.896	0.259	-0.155
2.931	0.259	-0.155
2.965	0.259	-0.155
3.000	0.259	-0.154
3.034	0.259	-0.155
3.068	0.259	-0.154
3.103	0.259	-0.154
3.137	0.260	-0.154
3.172	0.260	-0.154
3.206	0.260	-0.153
3.241	0.260	-0.152
3.275	0.260	-0.152
3.310	0.260	-0.151
3.344	0.261	-0.150
3.379	0.261	-0.149
3.413	0.261	-0.147
3.448	0.261	-0.145
3.482	0.262	-0.143
3.517	0.263	-0.142
3.551	0.264	-0.140
3.586	0.265	-0.139
3.620	0.267	-0.135
3.655	0.267	-0.132
3.689	0.269	-0.130
3.724	0.270	-0.128
3.758	0.272	-0.126
3.793	0.274	-0.123
3.827	0.276	-0.120
3.862	0.278	-0.117
3.896	0.280	-0.114
3.930	0.282	-0.110
3.965	0.284	-0.106
3.999	0.287	-0.104
4.034	0.289	-9.973E-2
4.068	0.293	-9.678E-2
4.103	0.296	-9.336E-2
4.137	0.299	-8.927E-2
4.172	0.302	-8.547E-2
4.206	0.306	-8.187E-2
4.241	0.310	-7.805E-2
4.275	0.314	-7.478E-2
4.310	0.318	-7.057E-2
4.344	0.322	-6.709E-2
4.379	0.327	-6.273E-2
4.413	0.332	-5.995E-2
4.448	0.337	-5.598E-2
4.482	0.343	-5.215E-2
4.517	0.348	-4.852E-2
4.551	0.354	-4.499E-2
4.586	0.359	-4.143E-2
4.620	0.365	-3.854E-2
4.655	0.378	-3.193E-2
4.689	0.383	-2.939E-2
4.724	0.391	-2.613E-2
4.758	0.398	-2.290E-2
4.792	0.404	-2.109E-2
4.827	0.411	-1.872E-2
4.861	0.419	-1.597E-2
4.896	0.426	-1.351E-2
4.930	0.433	-1.148E-2
4.965	0.441	-9.669E-3
4.999	0.448	-7.938E-3
5.034	0.456	-6.290E-3
5.068	0.464	-4.693E-3
5.103	0.471	-3.521E-3
5.137	0.480	-2.492E-3
5.172	0.487	-2.135E-3
5.206	0.495	-1.705E-3
5.241	0.503	-1.239E-3
5.275	0.511	-7.601E-4
5.310	0.519	-6.778E-4
5.344	0.527	-7.080E-4
5.379	0.535	-9.223E-4
5.413	0.543	-1.712E-3
5.448	0.550	-2.419E-3
5.482	0.559	-3.697E-3
5.517	0.566	-4.520E-3
5.551	0.574	-5.995E-3
5.586	0.582	-7.482E-3
5.620	0.589	-9.351E-3
5.654	0.596	-1.135E-2
5.689	0.603	-1.340E-2
5.723	0.617	-1.745E-2
5.758	0.624	-1.983E-2
5.792	0.631	-2.241E-2
5.827	0.637	-2.455E-2
5.861	0.644	-2.784E-2
5.896	0.650	-3.029E-2
